shipment_id,order_id,carrier_name,warehouse_id,shipment_date,estimated_delivery_date,actual_delivery_date,shipping_mode,shipment_cost,delay_reason
SHIP-000001,ORD-001743,DHL Express,wh-47,2025-10-26,Oct 29 2025,30-Oct-2025,Express,70.67,Weather Disruption
SHIP-000002,ORD-000128,dhl,wh-47,16-Jul-2025,16-Jul-2025,2025/07/21,Express,61.19,Documentation Error
SHIP-000003,ORD-001512,Maersk Line,WH-20,Apr 09 2026,2026-04-13,2026-04-13,Ocean,13.84,Documentation Error
SHIP-000004,ORD-001378,USPS,wh-45,2025/04/20,Apr 23 2025,,Ground,33.36,Labor Shortage
SHIP-000005,ORD-000173,fedex,WH-60,2025/09/09,2025/09/12,2025-09-12,Ground,33.97,
SHIP-000006,ORD-000678,U.P.S.,WH-60,2026/01/22,2026/01/22,23-Jan-2026,Air,46.0,
SHIP-000007,ORD-001511,USPS,WH-15,Apr 14 2026,Apr 21 2026,2026-04-23,Ground,18.35,Labor Shortage
SHIP-000008,ORD-000059,DHL Express,WH-51,Jan 08 2026,2026-01-09,12-Jan-2026,Express,63.41,Documentation Error
SHIP-000009,ORD-000342,maersk,WH-30,2026-06-03,Jun 02 2026,,Ocean,36.53,
SHIP-000010,ORD-000288,UPS,wh32,Apr 02 2026,2026/04/03,Apr 03 2026,Ground,20.61,Port Congestion
SHIP-000011,ORD-001103,XPO,WH-42,2026/03/13,Mar 14 2026,,Ground,29.66,
SHIP-000012,ORD-000263,DHL Express,Warehouse 29,19-Mar-2025,2025/03/25,,Express,51.72,
SHIP-000013,ORD-000791,U.S.P.S.,Warehouse 9,Jan 17 2025,18-Jan-2025,18-Jan-2025,Ground,20.53,Customs Clearance Delay
SHIP-000014,ORD-001613,dhl express,wh-54,Mar 10 2025,2025-03-12,12-Mar-2025,Express,57.29,Carrier Capacity Shortage
SHIP-000015,ORD-000748,Maersk Line,WH-46,Mar 11 2026,16-Mar-2026,16-Mar-2026,Ocean,15.06,Weather Disruption
SHIP-000016,ORD-000559,FedEx,wh44,2025/04/01,05-Apr-2025,04-Apr-2025,Air,48.21,
SHIP-000017,ORD-000883,FEDEX,WH-27,2025-12-03,06-Dec-2025,Dec 12 2025,Air,58.33,Vehicle Breakdown
SHIP-000018,ORD-000387,Maersk Line,WH-23,Feb 13 2025,Feb 13 2025,,Ocean,12.8,Documentation Error
SHIP-000019,ORD-001804,UPS,wh-06,2025-02-13,Feb 13 2025,2025/02/13,Ground,30.81,
SHIP-000020,ORD-001456,U.S.P.S.,wh32,2025-01-08,Jan 12 2025,Jan 10 2025,Ground,25.74,Carrier Capacity Shortage
SHIP-000021,ORD-000359,UPS,Warehouse 51,2025-11-23,Nov 25 2025,2025-11-24,Air,51.53,Supplier Stock Shortage
SHIP-000022,ORD-001304,XPO,wh18,2026/05/16,May 19 2026,May 17 2026,Ground,25.1,
SHIP-000023,ORD-000238,dhl,WH-30,2025-04-16,22-Apr-2025,,Air,59.91,Weather Disruption
SHIP-000024,ORD-000424,FEDEX,wh-48,Jul 26 2025,Jul 27 2025,2025-07-28,Air,51.1,Supplier Stock Shortage
SHIP-000025,ORD-000489,usps,WH-12,2026-05-15,2026-05-21,2026-05-23,Ground,22.43,Warehouse Processing Backlog
SHIP-000026,ORD-000329,Blue Dart,WH-08,2026-02-27,Mar 02 2026,2026/03/03,Ground,25.76,Customs Clearance Delay
SHIP-000027,ORD-000398,aramex,WH-51,2025/07/06,Jul 09 2025,2025/07/10,Ground,22.15,Documentation Error
SHIP-000028,ORD-001287,MAERSK,WH-55,Feb 24 2025,2025-02-25,2025-02-24,Ocean,15.83,Warehouse Processing Backlog
SHIP-000029,ORD-000205,ups,Warehouse 1,19-Jun-2025,2025-06-23,Jun 23 2025,Ground,33.23,Incorrect Address
SHIP-000030,ORD-001598,FEDEX,WH-37,2025/03/02,Mar 09 2025,,Ground,22.18,
SHIP-000031,ORD-001838,ARAMEX,WH-11,2025-07-15,2025-07-17,Jul 18 2025,Express,48.18,Labor Shortage
SHIP-000032,ORD-001382,U.P.S.,wh60,28-Aug-2025,04-Sep-2025,2025-09-04,Ground,27.62,
SHIP-000033,ORD-000702,,WH-12,2025-12-31,Jan 06 2026,06-Jan-2026,Ground,22.47,
SHIP-000034,ORD-000207,maersk,wh-28,2025-11-21,Nov 25 2025,2025-11-25,Ocean,33.26,
SHIP-000035,ORD-001322,XPO Logistics,WH-27,2025/08/16,2025/08/20,19-Aug-2025,Ground,28.92,
SHIP-000036,ORD-000351,,wh-54,2025-03-05,2025-03-09,10-Mar-2025,Express,68.59,Incorrect Address
SHIP-000037,ORD-000587,DHL Express,wh10,2025-10-16,2025-10-18,2025-10-19,Air,54.6,Supplier Stock Shortage
SHIP-000038,ORD-001242,MAERSK,Warehouse 52,May 26 2025,2025-06-01,30-May-2025,Ocean,28.53,Port Congestion
SHIP-000039,ORD-001173,fedex,wh-09,Feb 19 2026,2026-02-19,2026-02-20,Express,58.19,Customs Clearance Delay
SHIP-000040,ORD-001096,xpo logistics,wh-10,2025-03-24,2025-03-26,Mar 26 2025,Ground,31.23,Incorrect Address
SHIP-000041,ORD-001751,dhl express,WH-15,Aug 14 2025,Aug 19 2025,2025-08-17,Air,44.23,Incorrect Address
SHIP-000042,ORD-001682,,Warehouse 4,2025-08-24,Aug 27 2025,Aug 27 2025,Express,61.55,
SHIP-000043,ORD-001042,BlueDart,WH-31,30-Sep-2025,2025-10-01,2025-09-30,Ground,18.29,Warehouse Processing Backlog
